+------+----------+-----------------+---------+----------------+----+---------+---------+-------------+-------+----+------------+------------+-----------------+-----------------------------+----------+---------+---------------------------+
|dateID|date      |month_weekday_int|day_str  |week_weekday_int|week|month_int|month_str|month_firstOf|quarter|year|year_day_int|is_leap_year|date_str_abr     |date_str_full                |unix_ts   |isHoliday|holiday                    |
|114   |2021-04-24|24               |Saturday |7               |16  |4        |April    |2021-04-01   |2      |2021|114         |0           |Sat 24th Apr 2021|Saturday 24th April 2021     |1619244000|0        |NULL                       |
|115   |2021-04-25|25               |Sunday   |1               |17  |4        |April    |2021-04-01   |2      |2021|115         |0           |Sun 25th Apr 2021|Sunday 25th April 2021       |1619330400|0        |NULL                       |
|116   |2021-04-26|26               |Monday   |2               |17  |4        |April    |2021-04-01   |2      |2021|116         |0           |Mon 26th Apr 2021|Monday 26th April 2021       |1619416800|0        |NULL                       |
|117   |2021-04-27|27               |Tuesday  |3               |17  |4        |April    |2021-04-01   |2      |2021|117         |0           |Tue 27th Apr 2021|Tuesday 27th April 2021      |1619503200|0        |NULL                       |
|118   |2021-04-28|28               |Wednesday|4               |17  |4        |April    |2021-04-01   |2      |2021|118         |0           |Wed 28th Apr 2021|Wednesday 28th April 2021    |1619589600|0        |NULL                       |
|119   |2021-04-29|29               |Thursday |5               |17  |4        |April    |2021-04-01   |2      |2021|119         |0           |Thu 29th Apr 2021|Thursday 29th April 2021     |1619676000|0        |NULL                       |
|120   |2021-04-30|30               |Friday   |6               |17  |4        |April    |2021-04-01   |2      |2021|120         |0           |Fri 30th Apr 2021|Friday 30th April 2021       |1619762400|0        |NULL                       |
|121   |2021-05-01|1                |Saturday |7               |17  |5        |May      |2021-05-01   |2      |2021|121         |0           |Sat 1st May 2021 |Saturday 1st May 2021        |1619848800|0        |NULL                       |
|122   |2021-05-02|2                |Sunday   |1               |18  |5        |May      |2021-05-01   |2      |2021|122         |0           |Sun 2nd May 2021 |Sunday 2nd May 2021          |1619935200|0        |NULL                       |
|123   |2021-05-03|3                |Monday   |2               |18  |5        |May      |2021-05-01   |2      |2021|123         |0           |Mon 3rd May 2021 |Monday 3rd May 2021          |1620021600|0        |NULL                       |
|124   |2021-05-04|4                |Tuesday  |3               |18  |5        |May      |2021-05-01   |2      |2021|124         |0           |Tue 4th May 2021 |Tuesday 4th May 2021         |1620108000|0        |NULL                       |
|125   |2021-05-05|5                |Wednesday|4               |18  |5        |May      |2021-05-01   |2      |2021|125         |0           |Wed 5th May 2021 |Wednesday 5th May 2021       |1620194400|0        |NULL                       |
